feature,feature_label,target_column,reaction_id,reaction_label,spearman_rho,abs_spearman_rho,p_value
log10_e_over_n,log10_e_over_n,rate_const_048,48,AR4P > AR3S,0.7395468260209794,0.7395468260209794,1.9360922976466564e-106
log10_e_over_n,log10_e_over_n,rate_const_130,130,E + H2O > H2OV(010) + E,0.7360096668003129,0.7360096668003129,6.291028666982868e-105
log10_e_over_n,log10_e_over_n,rate_const_152,152,E + H2OV > O- + H2 + E,0.7322020411197441,0.7322020411197441,2.506593692936135e-103
log10_e_over_n,log10_e_over_n,rate_const_150,150,E + H2OV(001) > H2O+E x 1e-10,-0.72830173653133,0.72830173653133,1.023593799537826e-101
log10_e_over_n,log10_e_over_n,rate_const_148,148,E + H2OV(100) > H2O+E x 1e-10,-0.7249357763451788,0.7249357763451788,2.3881501654222923e-100
log10_e_over_n,log10_e_over_n,rate_const_032,32,AR4SPM > AR3S,0.70061668390939,0.70061668390939,4.876159315509904e-91
log10_e_over_n,log10_e_over_n,rate_const_035,35,AR4SPM > AR4SPR,-0.6820730938066262,0.6820730938066262,1.4988800200556414e-84
log10_e_over_n,log10_e_over_n,rate_const_094,94,H2*  > H2,0.660824361422662,0.660824361422662,1.0997458225409838e-77
log10_e_over_n,log10_e_over_n,rate_const_019,19,AR4SM > AR4SPR,0.6312866870878984,0.6312866870878984,5.033505603694104e-69
log10_e_over_n,log10_e_over_n,rate_const_183,183,O2-ELECTRONIC 4.5EV,0.6065964722414041,0.6065964722414041,1.787211461584436e-62
log10_e_over_n,log10_e_over_n,rate_const_166,166,E + H2OV > H2O+E (average),-0.5739787000076787,0.5739787000076787,1.1786539994573037e-54
log10_e_over_n,log10_e_over_n,rate_const_134,134,E + H2O > OH- + H + E,0.5628304802061453,0.5628304802061453,3.52983847431879e-52
log10_e_over_n,log10_e_over_n,rate_const_153,153,E + H2OV > OH- + H + E,0.4922467328915755,0.4922467328915755,1.745893002849038e-38
log10_e_over_n,log10_e_over_n,rate_const_083,83,H2-ROTATIONAL (0-2),0.4338195498909295,0.4338195498909295,2.4418387454016273e-29
log10_e_over_n,log10_e_over_n,rate_const_084,84,H2-ROTATIONAL (1-3),0.4337332474245226,0.4337332474245226,2.5116434402965145e-29
log10_e_over_n,log10_e_over_n,rate_const_131,131,E + H2O > H2OV(001) + E,0.4337197368544096,0.4337197368544096,2.522748663524253e-29
log10_e_over_n,log10_e_over_n,rate_const_129,129,E + H2O > H2OV(100) + E,0.4334426818772359,0.4334426818772359,2.76150256818523e-29
log10_e_over_n,log10_e_over_n,rate_const_174,174,O2-ROTATIONAL,-0.42961878737206133,0.42961878737206133,9.538384596099678e-29
log10_e_over_n,log10_e_over_n,rate_const_173,173,O2-ATTACHMENT TWO BODY,0.34263742217322757,0.34263742217322757,3.2315952177283115e-18
log10_e_over_n,log10_e_over_n,rate_const_175,175,O2-VIB 1,-0.2787452505246645,0.2787452505246645,2.487374033022565e-12
log10_e_over_n,log10_e_over_n,rate_const_132,132,E + H2O > H- + OH + E,0.24929425358369386,0.24929425358369386,4.4269388117493563e-10
log10_e_over_n,log10_e_over_n,rate_const_149,149,E + H2OV(010) > H2O+E x 1e-10,-0.2401166147559342,0.2401166147559342,1.955946890916684e-09
log10_e_over_n,log10_e_over_n,rate_const_027,27,AR4SR > AR4SPR,0.22453655938197034,0.22453655938197034,2.1263945763667432e-08
