target_column,reaction_id,reaction_label,total_variance,group_share,local_case_share,interaction_share,dominant_source
rate_const_156,156,E + H2OV > H2O^ + 2E,133320.8900493954,1.8435630403429476e-05,0.9995366088579185,0.00044495551167798847,local_case_share
rate_const_013,13,AR3S > AR^,145868.42685467302,3.484270130138729e-05,0.999475396139326,0.0004897611593727445,local_case_share
rate_const_155,155,E + H2OV > O + 2H + E,117662.41947930097,2.1204201799404897e-05,0.9994728070968432,0.0005059887013575216,local_case_share
rate_const_125,125,OH-Ionization,133963.27608513334,2.7463452788230823e-05,0.9993720581008005,0.0006004784464112787,local_case_share
rate_const_137,137,E + H2O > H2O^ + 2E,132574.36966491773,2.884574170039253e-05,0.9993423921565731,0.0006287621017268302,local_case_share
rate_const_072,72,H > H+,131081.71183189977,3.2615559786931346e-05,0.9992820460736543,0.0006853383665584561,local_case_share
rate_const_201,201,O-ION,131876.68805678515,3.343034196834408e-05,0.9992636918450672,0.0007028778129643598,local_case_share
rate_const_136,136,E + H2O > O + 2H + E,116978.37086210113,3.307846642498598e-05,0.999253423154295,0.0007134983792800324,local_case_share
rate_const_091,91,H2 > H*(ALPHA),130307.64287155497,5.845818046910338e-05,0.9991526706605711,0.0007888711589598854,local_case_share
rate_const_007,7,AR3S > AR3D,130557.42884424659,4.2424536740084926e-05,0.9990959969486773,0.000861578514582527,local_case_share
rate_const_080,80,H- -ELASTIC,524.3736881879292,0.0010249019864087539,0.9989351549246324,3.994308895915975e-05,local_case_share
rate_const_126,126,OH- -MOM,525.3396299633522,0.001029859365010103,0.9989306666265046,3.9474008485206456e-05,local_case_share
rate_const_192,192,O2- -MOMENTUM TRANSFER,525.3038531568948,0.0010299577523006807,0.9989305644581387,3.94777895603274e-05,local_case_share
rate_const_096,96,H2+ -ELASTIC,525.3580836491842,0.001030022242135355,0.9989305145143337,3.946324353050305e-05,local_case_share
rate_const_063,63,AR+ -ELASTIC,525.3590220534147,0.001030032375595125,0.9989305051558643,3.9462468540248594e-05,local_case_share
rate_const_202,202,O+ -ELASTIC,525.3590220534147,0.001030032375595125,0.9989305051558643,3.9462468540248594e-05,local_case_share
rate_const_190,190,O2+ -ELASTIC,525.3590220534147,0.001030032375595125,0.9989305051558643,3.9462468540248594e-05,local_case_share
rate_const_167,167,H2O+ -MOMTIC,525.3590220534147,0.001030032375595125,0.9989305051558643,3.9462468540248594e-05,local_case_share
rate_const_203,203,O- ELASTIC,525.3590220534147,0.001030032375595125,0.9989305051558643,3.9462468540248594e-05,local_case_share
rate_const_066,66,AR2+ -MOMTIC,525.3590220534147,0.001030032375595125,0.9989305051558643,3.9462468540248594e-05,local_case_share
rate_const_078,78,H+ -ELASTIC,525.3590220534147,0.001030032375595125,0.9989305051558643,3.9462468540248594e-05,local_case_share
rate_const_100,100,H3+ -ELASTIC,525.3257631848114,0.0010301464881367042,0.9989303872177613,3.9466294101738796e-05,local_case_share
rate_const_111,111,OH-E1PI,120183.30407164681,5.067675240483166e-05,0.9989248737275862,0.001024449520008838,local_case_share
rate_const_008,8,AR3S > AR5S,124983.19434217562,5.6717836849303605e-05,0.9988523347425273,0.0010909474206235584,local_case_share
rate_const_189,189,O + O^ + E + E,132132.61538000155,9.618791379542506e-05,0.998825785978526,0.0010780261076782749,local_case_share
rate_const_009,9,AR3S > AR5P,128156.24096408646,6.189370503669172e-05,0.9987811081939452,0.0011569981010178404,local_case_share
rate_const_157,157,E + H2OV > OH^ + H + E,134401.86936101102,0.0001026844854590859,0.9987728376560583,0.0011244778584825982,local_case_share
rate_const_026,26,AR4SR > AR4SPM,42.23658890743748,0.00011339030615274717,0.9985956835072752,0.001290926186569528,local_case_share
rate_const_105,105,H3+ > H^ + H + H,136591.22172186984,0.00012107476740971259,0.9985010545845405,0.001377870648049864,local_case_share
rate_const_138,138,E + H2O > OH^ + H + E,133765.6296311777,0.00013468719653591187,0.9984740163996513,0.001391296403812996,local_case_share
rate_const_140,140,E + H2O > H2^ + O + E,128335.08645626955,0.00014051931880823545,0.9984182800437766,0.0014412006374149033,local_case_share
rate_const_017,17,AR4SM > AR4SR,32.68988698186102,0.00013060368153690183,0.9983861473125563,0.001483249005907603,local_case_share
rate_const_101,101,H3+ > H+ + H,137521.73950390465,0.00011833032737355631,0.9980804480861932,0.0018012215864331629,local_case_share
rate_const_010,10,AR3S > AR4D,121171.7444285242,0.00011520408273604382,0.9980432674544216,0.0018415284628422355,local_case_share
rate_const_188,188,02-130NM LINE EXCITE,118799.58717007787,0.00011479616815813897,0.9980249023804696,0.0018603014513721226,local_case_share
rate_const_165,165,E + H2OV>O(3p5P)[777.4nm]+H2+E,114776.75083378269,0.00017700131837443037,0.9979949412956464,0.0018280573859797123,local_case_share
rate_const_011,11,AR3S > AR6S,118655.1269854222,0.00013173648475877614,0.9978299923288008,0.0020382711864404173,local_case_share
rate_const_163,163,E + H2OV > H(3)[656.3nm] +OH+E,125863.84707221662,0.00020678201314859053,0.9977569148879311,0.0020363030989206604,local_case_share
