density_group_id,species_id,species_label,min_value,max_value,range_value,is_constant_within_group
8,3,AR4SM,7.174e-07,7.174e-07,0.0,True
8,4,AR4SR,1.462e-06,1.462e-06,0.0,True
8,5,AR4SPM,1.63e-07,1.63e-07,0.0,True
8,6,AR4SPR,1.177e-06,1.177e-06,0.0,True
8,7,AR4P,6.789e-07,6.789e-07,0.0,True
8,8,AR4D,8.653e-09,8.653e-09,0.0,True
8,9,AR^,1.528e-08,1.528e-08,0.0,True
8,10,AR2*,9.835e-07,9.835e-07,0.0,True
8,11,AR2^,3.354e-09,3.354e-09,0.0,True
8,12,H,3.249e-05,3.249e-05,0.0,True
8,13,H*,1.52e-09,1.52e-09,0.0,True
8,14,H^,8.926e-13,8.926e-13,0.0,True
8,15,H-,4.932e-09,4.932e-09,0.0,True
8,16,H2,6.145e-07,6.145e-07,0.0,True
8,17,H2*,3.411e-11,3.411e-11,0.0,True
8,18,H2^,2.903e-14,2.903e-14,0.0,True
8,19,H3^,1.771e-12,1.771e-12,0.0,True
8,20,OH,3.331e-05,3.331e-05,0.0,True
8,21,OH*,3.539e-07,3.539e-07,0.0,True
8,22,OH^,2.859e-12,2.859e-12,0.0,True
8,23,OH-,4.911e-07,4.911e-07,0.0,True
8,24,H2O,0.01993,0.01993,0.0,True
8,25,H2OV,3.103e-05,3.103e-05,0.0,True
8,26,H2O^,1.11e-08,1.11e-08,0.0,True
8,27,HO2,3.679e-12,3.679e-12,0.0,True
8,28,H2O2,1.479e-08,1.479e-08,0.0,True
8,29,H3O^,6.857e-07,6.857e-07,0.0,True
8,30,O2,1.561e-11,1.561e-11,0.0,True
8,31,O2^,1.031e-14,1.031e-14,0.0,True
8,32,O2-,2.594e-17,2.594e-17,0.0,True
8,33,O,4.041e-08,4.041e-08,0.0,True
8,34,O^,1.695e-15,1.695e-15,0.0,True
8,35,O-,7.397e-08,7.397e-08,0.0,True
8,36,HV_096,0.0,0.0,0.0,True
8,37,HV_106,0.0,0.0,0.0,True
8,38,HV_126,0.0,0.0,0.0,True
8,39,ONE,0.0,0.0,0.0,True
8,40,TE,0.0,0.0,0.0,True
8,41,TGAS,0.0,0.0,0.0,True
8,42,EB,0.0,0.0,0.0,True
8,43,POS,0.0,0.0,0.0,True
8,44,POSITION,0.0,0.0,0.0,True
8,45,SPEED,0.0,0.0,0.0,True
8,46,EDEP,0.0,0.0,0.0,True
8,47,PDEP,0.0,0.0,0.0,True
8,48,M,0.0,0.0,0.0,True
8,49,MIS,0.0,0.0,0.0,True
9,1,E,1.47e-07,1.47e-07,0.0,True
9,2,AR3S,0.98,0.98,0.0,True
9,3,AR4SM,7.186e-07,7.186e-07,0.0,True
9,4,AR4SR,1.463e-06,1.463e-06,0.0,True
9,5,AR4SPM,1.63e-07,1.63e-07,0.0,True
9,6,AR4SPR,1.177e-06,1.177e-06,0.0,True
9,7,AR4P,6.768e-07,6.768e-07,0.0,True
9,8,AR4D,8.61e-09,8.61e-09,0.0,True
9,9,AR^,1.503e-08,1.503e-08,0.0,True
9,10,AR2*,9.851e-07,9.851e-07,0.0,True
9,11,AR2^,3.313e-09,3.313e-09,0.0,True
9,12,H,3.827e-05,3.827e-05,0.0,True
9,13,H*,2.084e-09,2.084e-09,0.0,True
9,14,H^,1.066e-12,1.066e-12,0.0,True
9,15,H-,4.985e-09,4.985e-09,0.0,True
9,16,H2,7.208e-07,7.208e-07,0.0,True
9,17,H2*,4.636e-11,4.636e-11,0.0,True
9,18,H2^,3.353e-14,3.353e-14,0.0,True
9,19,H3^,2.32e-12,2.32e-12,0.0,True
9,20,OH,3.918e-05,3.918e-05,0.0,True
9,21,OH*,4.239e-07,4.239e-07,0.0,True
9,22,OH^,3.247e-12,3.247e-12,0.0,True
9,23,OH-,5.569e-07,5.569e-07,0.0,True
9,24,H2O,0.01992,0.01992,0.0,True
9,25,H2OV,3.592e-05,3.592e-05,0.0,True
9,26,H2O^,1.094e-08,1.094e-08,0.0,True
9,27,HO2,6.894e-12,6.894e-12,0.0,True
9,28,H2O2,2.282e-08,2.282e-08,0.0,True
9,29,H3O^,7.642e-07,7.642e-07,0.0,True
9,30,O2,3.083e-11,3.083e-11,0.0,True
9,31,O2^,1.665e-14,1.665e-14,0.0,True
9,32,O2-,6.775e-17,6.775e-17,0.0,True
9,33,O,5.819e-08,5.819e-08,0.0,True
9,34,O^,2.421e-15,2.421e-15,0.0,True
9,35,O-,8.467e-08,8.467e-08,0.0,True
