global_case_id,density_group_id,local_case_id,max_reaction_id,max_reaction_label,max_rate_const,count,min,max,mean,median,std,p01,p05,p25,p50,p75,p95,p99,sum,zero_count,nonzero_count,positive_count,negative_count,unique_count
74,3,16,63,AR+ -ELASTIC,1.699e-05,204.0,0.0,1.699e-05,1.0528909507410868e-06,8.606499999999999e-10,3.987157054513444e-06,0.0,3.779015000000008e-18,2.0255000000000002e-11,8.606499999999999e-10,4.20325e-08,1.699e-05,1.699e-05,0.0002147897539511817,6.0,198.0,198.0,0.0,182.0
75,3,17,63,AR+ -ELASTIC,1.629e-05,204.0,0.0,1.629e-05,1.0125248218648532e-06,9.4715e-10,3.822458746505978e-06,0.0,4.235925000000009e-17,2.24925e-11,9.4715e-10,4.4455e-08,1.629e-05,1.629e-05,0.00020655506366043007,5.0,199.0,199.0,0.0,181.0
76,3,18,63,AR+ -ELASTIC,1.558e-05,204.0,0.0,1.558e-05,9.716497052854886e-07,1.0682e-09,3.655419610797293e-06,0.0,3.477630000000008e-16,2.4497499999999997e-11,1.0682e-09,4.7312499999999994e-08,1.558e-05,1.558e-05,0.0001982165398782397,5.0,199.0,199.0,0.0,183.0
77,3,19,63,AR+ -ELASTIC,1.498e-05,204.0,0.0,1.498e-05,9.371592536958307e-07,1.136e-09,3.51427289949221e-06,0.0,1.367945000000003e-15,3.2315e-11,1.136e-09,4.96e-08,1.498e-05,1.498e-05,0.00019118048775394945,5.0,199.0,199.0,0.0,180.0
78,3,20,63,AR+ -ELASTIC,1.446e-05,204.0,0.0,1.446e-05,9.073137518892739e-07,1.1950000000000001e-09,3.3919572099505653e-06,0.0,2.8403400000000054e-15,4.16775e-11,1.1950000000000001e-09,5.1845e-08,1.446e-05,1.446e-05,0.00018509200538541188,5.0,199.0,199.0,0.0,182.0
79,3,21,80,H- -ELASTIC,1.4e-05,204.0,0.0,1.4e-05,8.804161593323022e-07,1.2515e-09,3.2816112929023077e-06,0.0,5.417100000000009e-15,5.10325e-11,1.2515e-09,5.3925e-08,1.399e-05,1.399e-05,0.00017960489650378964,5.0,199.0,199.0,0.0,183.0
80,3,22,80,H- -ELASTIC,1.346e-05,204.0,0.0,1.346e-05,8.495267569022836e-07,1.3225e-09,3.1546198937686908e-06,0.0,1.1472200000000016e-14,5.133e-11,1.3225e-09,5.6542500000000005e-08,1.345e-05,1.345e-05,0.00017330345840806585,5.0,199.0,199.0,0.0,182.0
81,3,23,80,H- -ELASTIC,1.298e-05,204.0,0.0,1.298e-05,8.215864551611463e-07,1.4145e-09,3.039603090249231e-06,0.0,2.9551000000000026e-14,6.56875e-11,1.4145e-09,5.8205e-08,1.296e-05,1.296e-05,0.00016760363685287385,5.0,199.0,199.0,0.0,182.0
82,3,24,80,H- -ELASTIC,1.253e-05,204.0,0.0,1.253e-05,7.954060463749552e-07,1.6444999999999999e-09,2.931660047117874e-06,0.0,7.959300000000002e-14,6.79175e-11,1.6444999999999999e-09,5.80425e-08,1.25e-05,1.25e-05,0.00016226283346049085,5.0,199.0,199.0,0.0,183.0
83,3,25,80,H- -ELASTIC,1.194e-05,204.0,0.0,1.194e-05,7.613450797116218e-07,1.8235000000000002e-09,2.790838862848064e-06,0.0,1.8870000000000002e-13,9.7355e-11,1.8235000000000002e-09,5.86675e-08,1.19e-05,1.19e-05,0.00015531439626117083,5.0,199.0,199.0,0.0,182.0
